t,x1,x2,x3,lambda
0.0,1.0,0.0,1.0,1.0
0.1,33.221294089181335,0.1,0.1999995900008,1.0
0.2,33.17833278415752,0.2,0.19999959000080003,1.0
0.3,33.19295634649937,0.3,0.1999995900008,1.0
0.4,33.234272833302285,0.4,0.1999995900008,1.0
0.5,33.28459818317734,0.5,0.19999959000080006,1.0
0.6,33.33488117337414,0.6,0.19999959000080006,1.0
0.7,33.381526778699254,0.7,0.19999959000079995,1.0
0.8,33.423803295573464,0.8,0.19999959000079998,1.0
0.9,33.462219253063886,0.9,0.19999959000080006,1.0
1.0,2.0,-3.618947605086191e-55,1.0,0.7499998033696873
